Title Number,Tenure,Property Address,District,County,Region,Postcode,Multiple Address Indicator,Price Paid,Proprietor Name (1),Company Registration No. (1),Proprietorship Category (1),Proprietor (1) Address (1),Proprietor (1) Address (2),Proprietor (1) Address (3),Proprietor Name (2),Company Registration No. (2),Proprietorship Category (2),Proprietor (2) Address (1),Proprietor (2) Address (2),Proprietor (2) Address (3),Proprietor Name (3),Company Registration No. (3),Proprietorship Category (3),Proprietor (3) Address (1),Proprietor (3) Address (2),Proprietor (3) Address (3),Proprietor Name (4),Company Registration No. (4),Proprietorship Category (4),Proprietor (4) Address (1),Proprietor (4) Address (2),Proprietor (4) Address (3),Date Proprietor Added,Additional Proprietor Indicator
MS596182,Leasehold,"airspace above 21 Mosslawn Road, Liverpool (L32 8TY)",KNOWSLEY,MERSEYSIDE,NORTH WEST,L32 8TY,N,,FUTURE ENERGY GENERATION LIMITED,07330573,Limited Company or Public Limited Company,"10 Lower Grosvenor Place, London SW1W 0EN",,,,,,,,,,,,,,,,,,,,,28-09-2012,N
SYK601944,Leasehold,"Unit A, Old Colliery Way, Beighton, Sheffield (S20 1DJ)",ROTHERHAM,SOUTH YORKSHIRE,YORKS AND HUMBER,S20 1DJ,N,,SVERDRUP STEEL UK LIMITED,08161723,Limited Company or Public Limited Company,"Unit A, Old Colliery Way, Beighton, Rotherham, South Yorkshire S20 1DJ",,,,,,,,,,,,,,,,,,,,,23-11-2012,N
WSX160378,Freehold,"Interliink House, 22 Commerce Way, Lancing (BN15 8UP)",ADUR,WEST SUSSEX,SOUTH EAST,BN15 8UP,N,,LOSETH PROPERTIES LIMITED,08091589,Limited Company or Public Limited Company,"Interliink House 22 Commerce Way, Lancing, West Sussex BN15 8UP",,,,,,,,,,,,,,,,,,,,,19-12-2012,N
WSX160378,Freehold,"Interliink House, 22 Commerce Way, Lancing (BN15 8UP)",ADUR,WEST SUSSEX,SOUTH EAST,BN15 8UP,N,,LOSETH PROPERTIES LIMITED,08091589,Limited Company or Public Limited Company,"Interliink House 22 Commerce Way, Lancing, West Sussex BN15 8UP",,,,,,,,,,,,,,,,,,,,,19-12-2012,N
SY814811,Leasehold,"98 Victoria Road, Horley (RH6 7AB)",REIGATE AND BANSTEAD,SURREY,SOUTH EAST,RH6 7AB,N,,VICTORIA ROAD SURGERY LIMITED,08619463,Limited Company or Public Limited Company,"98 Victoria Road, Horley RH6 7AB",,,,,,,,,,,,,,,,,,,,,27-09-2013,N
HP760743,Leasehold,"Unit 5, Lower William Street, Southampton (SO14 5QE)",SOUTHAMPTON,SOUTHAMPTON,SOUTH EAST,SO14 5QE,N,,OIL SPILL RESPONSE LIMITED,01808594,Limited Company or Public Limited Company,"1 Great Cumberland Place, London W1H 7AL",,,,,,,,,,,,,,,,,,,,,21-05-2013,N
HP769022,Leasehold,"Units 9a, 9b, 10 and 11 First Floor, Building 2, Shamrock Quay, William Street, Southampton (SO14 5QL)",SOUTHAMPTON,SOUTHAMPTON,SOUTH EAST,SO14 5QL,N,,OIL SPILL RESPONSE LIMITED,01808594,Limited Company or Public Limited Company,"1 Great Cumberland Place, London W1H 7AL",,,,,,,,,,,,,,,,,,,,,20-02-2014,N
HP718979,Leasehold,"the bed of the River Itchen, Southampton",SOUTHAMPTON,SOUTHAMPTON,SOUTH EAST,,N,,OIL SPILL RESPONSE LIMITED,01808594,Limited Company or Public Limited Company,"1 Great Cumberland Place, London W1H 7AL","Lower William Street, Southampton SO14 5QE",,,,,,,,,,,,,,,,,,,,24-08-2009,N
HP758070,Leasehold,"Units 19-24, Building 2, Shamrock Quay, William Street, Southampton (SO14 5QL)",SOUTHAMPTON,SOUTHAMPTON,SOUTH EAST,SO14 5QL,N,,OIL SPILL RESPONSE LIMITED,01808594,Limited Company or Public Limited Company,"1 Great Cumberland Place, London W1H 7AL",,,,,,,,,,,,,,,,,,,,,07-02-2013,N
NGL903763,Leasehold,"1 Great Cumberland Place, London (W1H 7AL)",CITY OF WESTMINSTER,GREATER LONDON,GREATER LONDON,W1H 7AL,N,,OIL SPILL RESPONSE LIMITED,01808594,Limited Company or Public Limited Company,"1 Great Cumberland Place, London W1H 7AL",,,,,,,,,,,,,,,,,,,,,20-04-2009,N
HS40566,Freehold,"188 Albert Avenue, Anlaby Road, Hull (HU3 6QA)",CITY OF KINGSTON UPON HULL,CITY OF KINGSTON UPON HULL,YORKS AND HUMBER,HU3 6QA,N,,PROVENATOR LIMITED,10346638,Limited Company or Public Limited Company,"33a Milton Road, Hampton TW12 2LL",,,,,,,,,,,,,,,,,,,,,08-02-2017,N
GM378941,Leasehold,"138 Darlington Street East, Tyldesley, Manchester (M29 8NU)",WIGAN,GREATER MANCHESTER,NORTH WEST,M29 8NU,N,100000,PROVENATOR LTD,10346638,Limited Company or Public Limited Company,"33a Milton Road, Hampton TW12 2LL",,,,,,,,,,,,,,,,,,,,,07-11-2016,N
WM259046,Freehold,"16 Brown Road, Wednesbury (WS10 8PP)",WALSALL,WEST MIDLANDS,WEST MIDLANDS,WS10 8PP,N,110000,PROVENATOR LTD,10346638,Limited Company or Public Limited Company,"Milton House, 33a Milton Road, Hampton TW12 2LL",,,,,,,,,,,,,,,,,,,,,09-08-2017,N
HS40566,Freehold,"188 Albert Avenue, Anlaby Road, Hull (HU3 6QA)",CITY OF KINGSTON UPON HULL,CITY OF KINGSTON UPON HULL,YORKS AND HUMBER,HU3 6QA,N,,PROVENATOR LIMITED,10346638,Limited Company or Public Limited Company,"33a Milton Road, Hampton TW12 2LL",,,,,,,,,,,,,,,,,,,,,08-02-2017,N
GM378941,Leasehold,"138 Darlington Street East, Tyldesley, Manchester (M29 8NU)",WIGAN,GREATER MANCHESTER,NORTH WEST,M29 8NU,N,100000,PROVENATOR LTD,10346638,Limited Company or Public Limited Company,"33a Milton Road, Hampton TW12 2LL",,,,,,,,,,,,,,,,,,,,,07-11-2016,N
WM259046,Freehold,"16 Brown Road, Wednesbury (WS10 8PP)",WALSALL,WEST MIDLANDS,WEST MIDLANDS,WS10 8PP,N,110000,PROVENATOR LTD,10346638,Limited Company or Public Limited Company,"Milton House, 33a Milton Road, Hampton TW12 2LL",,,,,,,,,,,,,,,,,,,,,09-08-2017,N
NK461751,Freehold,"339 St Faiths Road, Norwich (NR6 7BL)",BROADLAND,NORFOLK,EAST ANGLIA,NR6 7BL,N,130000,AKEC PROPERTY DEVELOPMENTS LIMITED,10346783,Limited Company or Public Limited Company,"14 Park Road, Spixworth, Norwich NR10 3PJ",,,,,,,,,,,,,,,,,,,,,16-09-2016,N
NK266362,Freehold,"20 Rosetta Road, Spixworth, Norwich (NR10 3NW)",BROADLAND,NORFOLK,EAST ANGLIA,NR10 3NW,N,153000,AKEC PROPERTY DEVELOPMENT LIMITED,10346783,Limited Company or Public Limited Company,"14 Park Road, Spixworth, Norwich NR10 3PJ",,,,,,,,,,,,,,,,,,,,,13-12-2016,N
MS30896,Freehold,"41 Galloway Street, Liverpool (L7 6PD)",LIVERPOOL,MERSEYSIDE,NORTH WEST,L7 6PD,N,35000,GTS2020 LTD,10348042,Limited Company or Public Limited Company,"104 Duke Street, Liverpool L1 5AG",,,,,,,,,,,,,,,,,,,,,21-11-2016,N
MS405662,Freehold,"73 Holmes Street, Liverpool (L8 0RH)",LIVERPOOL,MERSEYSIDE,NORTH WEST,L8 0RH,N,39000,GTS2020 LTD,10348042,Limited Company or Public Limited Company,"104 Duke Street, Liverpool L1 5AG",,,,,,,,,,,,,,,,,,,,,07-11-2016,N
MS385393,Freehold,"11 Galloway Street, Liverpool (L7 6PD)",LIVERPOOL,MERSEYSIDE,NORTH WEST,L7 6PD,N,35000,GTS2020 LTD,10348042,Limited Company or Public Limited Company,"104 Duke Street, Liverpool L1 5AG",,,,,,,,,,,,,,,,,,,,,07-11-2016,N
DY95667,Freehold,"4 Shardlow Road, Alvaston, Derby (DE24 0JH)",CITY OF DERBY,CITY OF DERBY,EAST MIDLANDS,DE24 0JH,N,159000,DILIP ENTERPRISES LIMITED,04864030,Limited Company or Public Limited Company,"95 Derby Road, Stapleford, Nottingham NG9 7AR",,,,,,,,,,,,,,,,,,,,,24-03-2016,N
DY222865,Freehold,"Service Station, Etwall Road, Mickleover, Derby (DE3 0DN)",SOUTH DERBYSHIRE,DERBYSHIRE,EAST MIDLANDS,DE3 0DN,N,,DILIP ENTERPRISES LIMITED,04864030,Limited Company or Public Limited Company,"Service Station, Etwall Road, Mickleover, Derby DE3 0DN",,,,,,,,,,,,,,,,,,,,,16-12-2013,N
NT180386,Freehold,"land on the South East side of Derby Road, Stapleford",BROXTOWE,NOTTINGHAMSHIRE,EAST MIDLANDS,,N,,DILIP ENTERPRISES LIMITED,04864030,Limited Company or Public Limited Company,"95 Derby Road, Stapleford, Nottingham NG9 7AR",,,,,,,,,,,,,,,,,,,,,05-12-2013,N
NT496693,Freehold,"95 Derby Road, Stapleford, Nottingham (NG9 7AR)",BROXTOWE,NOTTINGHAMSHIRE,EAST MIDLANDS,NG9 7AR,N,,DILIP ENTERPRISES LIMITED,04864030,Limited Company or Public Limited Company,"95 Derby Road, Stapleford, Nottingham NG9 7AR",,,,,,,,,,,,,,,,,,,,,05-12-2013,N
NT420926,Freehold,"122 Clipstone Road West, Forest Town, Mansfield (NG19 0HL)",MANSFIELD,NOTTINGHAMSHIRE,EAST MIDLANDS,NG19 0HL,N,600000,DILIP ENTERPRISES LIMITED,04864030,Limited Company or Public Limited Company,"122 Clipstone Road West, Forest Town, Mansfield NG19 0HL",,,,,,,,,,,,,,,,,,,,,05-04-2016,N
MAN97607,Leasehold,"Park Inn Hotel, Sale Way, Leigh Sports Village, Leigh (WN7 4JY)",WIGAN,GREATER MANCHESTER,NORTH WEST,WN7 4JY,N,,KS HOTELS LIMITED,08897530,Limited Company or Public Limited Company,"Danehill Lodge, Tanyard Lane, Danehill, Haywards Heath RH17 7JW",,,,,,,,,,,,,,,,,,,,,14-07-2014,N
GM549909,Freehold,"26 Drake Road, Littleborough (OL15 9PS)",ROCHDALE,GREATER MANCHESTER,NORTH WEST,OL15 9PS,N,76000,TCL LIFE PROPERTIES LIMITED,09774947,Limited Company or Public Limited Company,"1 Peacock Lane, Todmorden OL14 6BD",,,,,,,,,,,,,,,,,,,,,25-04-2016,N
GM512588,Freehold,"5 Barnes Meadows, Littleborough (OL15 9PW)",ROCHDALE,GREATER MANCHESTER,NORTH WEST,OL15 9PW,N,87000,TCL LIFE PROPERTIES LIMITED,09774947,Limited Company or Public Limited Company,"1 Peacock Lane, Todmorden OL14 6BD",,,,,,,,,,,,,,,,,,,,,25-04-2016,N
GM549909,Freehold,"26 Drake Road, Littleborough (OL15 9PS)",ROCHDALE,GREATER MANCHESTER,NORTH WEST,OL15 9PS,N,76000,TCL LIFE PROPERTIES LIMITED,09774947,Limited Company or Public Limited Company,"1 Peacock Lane, Todmorden OL14 6BD",,,,,,,,,,,,,,,,,,,,,25-04-2016,N
GM512588,Freehold,"5 Barnes Meadows, Littleborough (OL15 9PW)",ROCHDALE,GREATER MANCHESTER,NORTH WEST,OL15 9PW,N,87000,TCL LIFE PROPERTIES LIMITED,09774947,Limited Company or Public Limited Company,"1 Peacock Lane, Todmorden OL14 6BD",,,,,,,,,,,,,,,,,,,,,25-04-2016,N
BK479795,Leasehold,"Unit 1, Maidenhead Enterprise Centre, Cordwallis Street, Maidenhead (SL6 7BE)",WINDSOR AND MAIDENHEAD,WINDSOR AND MAIDENHEAD,SOUTH EAST,SL6 7BE,N,,THE PURE WATER COMPANY LTD,03426300,Limited Company or Public Limited Company,"18 Soho Mills, Wooburn Green, High Wycombe HP10 0PF",,,,,,,,,,,,,,,,,,,,,24-10-2016,N
BK479795,Leasehold,"Unit 1, Maidenhead Enterprise Centre, Cordwallis Street, Maidenhead (SL6 7BE)",WINDSOR AND MAIDENHEAD,WINDSOR AND MAIDENHEAD,SOUTH EAST,SL6 7BE,N,,THE PURE WATER COMPANY LTD,03426300,Limited Company or Public Limited Company,"18 Soho Mills, Wooburn Green, High Wycombe HP10 0PF",,,,,,,,,,,,,,,,,,,,,24-10-2016,N
BK479795,Leasehold,"Unit 1, Maidenhead Enterprise Centre, Cordwallis Street, Maidenhead (SL6 7BE)",WINDSOR AND MAIDENHEAD,WINDSOR AND MAIDENHEAD,SOUTH EAST,SL6 7BE,N,,THE PURE WATER COMPANY LTD,03426300,Limited Company or Public Limited Company,"18 Soho Mills, Wooburn Green, High Wycombe HP10 0PF",,,,,,,,,,,,,,,,,,,,,24-10-2016,N
LL312108,Leasehold,"24 Jackson Way, Stamford (PE9 1FG)",SOUTH KESTEVEN,LINCOLNSHIRE,EAST MIDLANDS,PE9 1FG,N,150000,RL & T PROPERTIES LTD,09231929,Limited Company or Public Limited Company,"15 Irnham Park, Irnham, Grantham NG33 4JL",,,,,,,,,,,,,,,,,,,,,25-08-2015,N
LT487510,Freehold,"35 Farrer Way, Barleythorpe, Oakham (LE15 7GG)",RUTLAND,RUTLAND,EAST MIDLANDS,LE15 7GG,N,172995,RL & T PROPERTIES LIMITED,09231929,Limited Company or Public Limited Company,"15 Irnham Park, Irnham, Grantham NG33 4JL",,,,,,,,,,,,,,,,,,,,,12-01-2017,N
LL312542,Leasehold,"28 Jackson Way, Stamford (PE9 1FG)",SOUTH KESTEVEN,LINCOLNSHIRE,EAST MIDLANDS,PE9 1FG,N,,RL & T PROPERTIES LTD,09231929,Limited Company or Public Limited Company,"15 Irnham Park, Irnham, Grantham NG33 4JL",,,,,,,,,,,,,,,,,,,,,25-06-2015,N
LL312506,Leasehold,"26 Jackson Way, Stamford and car parking space (PE9 1FG)",SOUTH KESTEVEN,LINCOLNSHIRE,EAST MIDLANDS,PE9 1FG,N,150000,RL & T PROPERTIES LTD,09231929,Limited Company or Public Limited Company,"15 Irnham Park, Irnham, Grantham NG33 4JL",,,,,,,,,,,,,,,,,,,,,26-08-2015,N
AGL364240,Leasehold,"Ground Floor, 125 Wood Street, London (EC2V 7AN)",CITY OF LONDON,GREATER LONDON,GREATER LONDON,EC2V 7AN,N,,CONILON LTD,08663274,Limited Company or Public Limited Company,"1 Fore Street Avenue, London EC2Y 9DT",,,,,,,,,,,,,,,,,,,,,07-01-2016,N
AGL359302,Leasehold,"Kiosk, Aldgate Tower, Whitechapel High Street, London",TOWER HAMLETS,GREATER LONDON,GREATER LONDON,,N,,CONILON LTD,08663274,Limited Company or Public Limited Company,"1 Fore Street Avenue, London EC2Y 9DT",,,,,,,,,,,,,,,,,,,,,06-11-2015,N
NGL957243,Leasehold,"Ground Floor Premises, 5-7 Goodge Street, London (W1T 2PD)",CAMDEN,GREATER LONDON,GREATER LONDON,W1T 2PD,N,,CONILON LTD,08663274,Limited Company or Public Limited Company,"Black Sheep Coffee, 1 Fore Street, London EC2Y 9DT",,,,,,,,,,,,,,,,,,,,,27-01-2016,N
LN144707,Freehold,"1 Amor Road, Hammersmith,(W6 0AN)",HAMMERSMITH AND FULHAM,GREATER LONDON,GREATER LONDON,W6 0AN,N,,ROSSWARD PROPERTY MANAGEMENT COMPANY LIMITED,06385439,Limited Company or Public Limited Company,"1a Amor Road, Hammersmith, London W6 0AN",,,,,,,,,,,,,,,,,,,,,20-12-2007,N
SY753839,Leasehold,"2nd Floor, 5 The Heights, Brooklands, Weybridge (KT13 0NY)",ELMBRIDGE,SURREY,SOUTH EAST,KT13 0NY,N,,GEARBULK (UK) LIMITED,02652901,Limited Company or Public Limited Company,"Milbourne House, Copsem Lane, Esher, Surrey KT10 9EP",,,,,,,,,,,,,,,,,,,,,19-09-2006,N
TGL418426,Leasehold,"Part of Second Floor, West Building, 1 London Bridge, London (SE1 9BG)",SOUTHWARK,GREATER LONDON,GREATER LONDON,SE1 9BG,N,,GEARBULK (UK) LIMITED,02652901,Limited Company or Public Limited Company,"5 The Heights, Brooklands, Weybridge KT13 0NY",,,,,,,,,,,,,,,,,,,,,26-02-2015,N
HD564479,Freehold,"land on the east side of Heathbrow Road, Welwyn",WELWYN HATFIELD,HERTFORDSHIRE,SOUTH EAST,,N,,BRIARY WOOD DEVELOPMENTS LIMITED,10438063,Limited Company or Public Limited Company,"6 Briary Wood End, Welwyn AL6 0TD",,,,,,,,,,,,,,,,,,,,,31-05-2017,N
DY365958,Freehold,"2 Raynesway, Derby (DE24 0DU)",CITY OF DERBY,CITY OF DERBY,EAST MIDLANDS,DE24 0DU,N,,DSK (NOTTINGHAM) LIMITED,07097522,Limited Company or Public Limited Company,"17 Claremont Avenue, Bramcote, Nottingham NG9 3DG",,,,,,,,,,,,,,,,,,,,,30-11-2011,N
DY369654,Freehold,"39 Cornmarket, Derby (DE1 2DG)",CITY OF DERBY,CITY OF DERBY,EAST MIDLANDS,DE1 2DG,N,350000,DSK (NOTTINGHAM) LIMITED,07097522,Limited Company or Public Limited Company,"Dsk House, 95 Derby Road, Stapleford, Nottingham NG9 7AR",,,,,,,,,,,,,,,,,,,,,01-02-2018,N
NT524226,Freehold,"142 Wollaton Road, Beeston, Nottingham (NG9 2PE)",BROXTOWE,NOTTINGHAMSHIRE,EAST MIDLANDS,NG9 2PE,N,145000,DSK (NOTTINGHAM) LTD,07097522,Limited Company or Public Limited Company,"95 Derby Road, Stapleford, Nottingham NG9 7AR",,,,,,,,,,,,,,,,,,,,,26-09-2016,N
YY62814,Leasehold,"9 Mill Hill, Leeds (LS1 5DQ)",LEEDS,WEST YORKSHIRE,YORKS AND HUMBER,LS1 5DQ,N,,TOMAS OPPEDAL LIMITED,04936348,Limited Company or Public Limited Company,"9 Mill Hill, Leeds LS1 5DQ","45 Mansion Gate Square, Leeds LS7 4RX",,,,,,,,,,,,,,,,,,,,29-01-2016,N
TY181038,Leasehold,"1, Brady & Martin Court, Northumberland Road, Newcastle Upon Tyne and garage (NE1 8SG)",NEWCASTLE UPON TYNE,TYNE AND WEAR,NORTH,NE1 8SG,N,140000,YETHOLM PROPERTIES (UK) LIMITED,02758827,Limited Company or Public Limited Company,"Yetholm Hall, Town Yetholm, Kelso TD5 8RD",,,,,,,,,,,,,,,,,,,,,12-04-2016,N
TY415765,Freehold,"23 Tankerville Terrace, Newcastle Upon Tyne (NE2 3AJ)",NEWCASTLE UPON TYNE,TYNE AND WEAR,NORTH,NE2 3AJ,N,350000,YETHOLM PROPERTIES (UK) LIMITED,02758827,Limited Company or Public Limited Company,"Yetholm Hall, Town Yetholm, Kelso TD5 8RD",,,,,,,,,,,,,,,,,,,,,04-08-2017,N
TY475752,Leasehold,"Apartment B, 28 St Mary's Place, Newcastle Upon Tyne (NE1 7PQ)",NEWCASTLE UPON TYNE,TYNE AND WEAR,NORTH,NE1 7PQ,N,,YETHOLM PROPERTIES (UK) LIMITED,02758827,Limited Company or Public Limited Company,"28 St. Marys Place, Newcastle Upon Tyne NE1 7PQ",,,,,,,,,,,,,,,,,,,,,29-12-2017,N
TY475753,Leasehold,"Apartment C, 28 St Marys Place, Newcastle Upon Tyne (NE1 7PQ)",NEWCASTLE UPON TYNE,TYNE AND WEAR,NORTH,NE1 7PQ,N,130000,YETHOLM PROPERTIES (UK) LIMITED,02758827,Limited Company or Public Limited Company,"Yetholm Town Hall, Yetholm, Kelso, Roxburghshire TD5 8RD",,,,,,,,,,,,,,,,,,,,,30-06-2016,N
WYK746892,Freehold,"Block B, Centre 27 Business Park, Woodhead Road, Birstall, Batley (WF17 9TD)",KIRKLEES,WEST YORKSHIRE,YORKS AND HUMBER,WF17 9TD,N,1550000,CRYSTAL 1 LIMITED,06832546,Limited Company or Public Limited Company,"Bridge Street Chambers, 72 Bridge Street, Manchester M3 2RJ",,,,,,,,,,,,,,,,,,,,,30-11-2017,N
GM813611,Leasehold,"land on the south side of Queensway, Rochdale",ROCHDALE,GREATER MANCHESTER,NORTH WEST,,N,,CHUCKLEDAN PROPERTIES LIMITED,03449596,Limited Company or Public Limited Company,"The Coach House, Fulshaw Hall, Alderley Road, Wilmslow, Cheshire SK9 1RL",,,,,,,,,,,,,,,,,,,,,03-12-2008,N
GM206264,Leasehold,"208 BURY NEW ROAD, MANCHESTER M8 8DY",MANCHESTER,GREATER MANCHESTER,NORTH WEST,M8 8DY,Y,,CHUCKLEDAN PROPERTIES LIMITED,03449596,Limited Company or Public Limited Company,"The Coach House, Fulshaw Hall, Alderley Road, Wilmslow, Cheshire East SK9 1RL",,,,,,,,,,,,,,,,,,,,,07-08-2009,N
GM423761,Freehold,"part of 208 Bury New Road, Manchester",MANCHESTER,GREATER MANCHESTER,NORTH WEST,,N,,CHUCKLEDAN PROPERTIES LIMITED,03449596,Limited Company or Public Limited Company,"The Coach House, Fulshaw Hall, Alderley Road, Wilmslow, Cheshire East SK9 1RL",,,,,,,,,,,,,,,,,,,,,07-08-2009,N
GM470623,Leasehold,"LAND LYING TO NORTH EAST OF SABRINA STREET, MANCHESTER",MANCHESTER,GREATER MANCHESTER,NORTH WEST,,Y,,CHUCKLEDAN PROPERTIES LIMITED,03449596,Limited Company or Public Limited Company,"The Coach House, Fulshaw Hall, Alderley Road, Wilmslow, Cheshire East SK9 1RL",,,,,,,,,,,,,,,,,,,,,07-08-2009,N
MAN290807,Leasehold,"land on the south side of Queensway, Rochdale",ROCHDALE,GREATER MANCHESTER,NORTH WEST,,N,,CHUCKLEDAN PROPERTIES LIMITED,03449596,Limited Company or Public Limited Company,"The Coach House, Fulshaw Hall, Alderley Road, Wilmslow SK9 1RL",,,,,,,,,,,,,,,,,,,,,19-04-2017,N
WSX186381,Freehold,"5 Dukes Court, Bognor Road, Chichester (PO19 8FX)",CHICHESTER,WEST SUSSEX,SOUTH EAST,PO19 8FX,N,,OKB MEDICAL LIMITED,04575260,Limited Company or Public Limited Company,"65 Graydon Avenue, Chichester PO19 8RH",,,,,,,,,,,,,,,,,,,,,19-07-2016,N
WSX184805,Freehold,"2 Forge Close, Chichester (PO19 8SP)",CHICHESTER,WEST SUSSEX,SOUTH EAST,PO19 8SP,N,315000,OKB MEDICAL LIMITED,04575260,Limited Company or Public Limited Company,"65 Graydon Avenue, Chichester PO19 8RH",,,,,,,,,,,,,,,,,,,,,29-01-2018,N
WSX186382,Freehold,"5 Dukes Court, Bognor Road, Chichester (PO19 8FX)",CHICHESTER,WEST SUSSEX,SOUTH EAST,PO19 8FX,N,,OKB MEDICAL LIMITED,04575260,Limited Company or Public Limited Company,"65 Graydon Avenue, Chichester PO19 8RH",,,,,,,,,,,,,,,,,,,,,19-07-2016,N
NGL916801,Leasehold,"part of 150 New Bond Street, London and 40 Bruton Street, London",CITY OF WESTMINSTER,GREATER LONDON,GREATER LONDON,,N,,MAGNI PARTNERS LIMITED,09204102,Limited Company or Public Limited Company,"150 Aldersgate Street, London EC1A 4AB",,,,,,,,,,,,,,,,,,,,,23-10-2014,N
NGL915253,Leasehold,"part of 150 New Bond Street, London and 40 Bruton Street, London",CITY OF WESTMINSTER,GREATER LONDON,GREATER LONDON,,N,,MAGNI PARTNERS LIMITED,09204102,Limited Company or Public Limited Company,"150 Aldersgate Street, London EC1A 4AB",,,,,,,,,,,,,,,,,,,,,23-10-2014,N
NGL957886,Leasehold,"5th And 6th Floor Premises, 11-15 Arlington Street, London (SW1A 1RD)",CITY OF WESTMINSTER,GREATER LONDON,GREATER LONDON,SW1A 1RD,N,,SMEDVIG CAPITAL LIMITED,03121131,Limited Company or Public Limited Company,"Ryger House, 11 Arlington Street, London SW1A 1RD",,,,,,,,,,,,,,,,,,,,,22-02-2016,N
