DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location 
190206484,02/15/2019,02/15/2019,0415,,Rampart,0236,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 2032,30,F,W,406,OTHER STORE,,,IC,Invest Cont,440,,,,2000    BEVERLY                      BL,,"(34.066, -118.2689)"
190206485,02/16/2019,02/15/2019,1600,,Rampart,0219,330,BURGLARY FROM VEHICLE,0344 1609 1307 0329,76,M,H,101,STREET,,,IC,Invest Cont,330,,,,1100    DOUGLAS                      ST,,"(34.0725, -118.2532)"
190206486,02/16/2019,02/16/2019,0200,,Rampart,0249,310,BURGLARY,1605 0344 0352,25,M,B,503,HOTEL,,,IC,Invest Cont,310,,,,1100 W  7TH                          ST,,"(34.0542, -118.2611)"
190206487,02/16/2019,02/15/2019,1200,,Rampart,0265,121,"RAPE, FORCIBLE",2000 1206 0536 0516 1415 1402 0419 0416,39,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,998,,,700 S  WESTLAKE                     AV,,"(34.0559, -118.2756)"
190206489,02/16/2019,02/13/2019,0700,,Rampart,0231,901,VIOLATION OF RESTRAINING ORDER,2038 0913 1501,61,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511,VERBAL THREAT,IC,Invest Cont,901,,,,100 S  VENDOME                      ST,,"(34.0719, -118.2822)"
190206491,02/16/2019,02/14/2019,1845,,Rampart,0235,310,BURGLARY,0344 0329 1607 1601,18,X,X,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,310,,,,2200    BEVERLY                      BL,,"(34.0671, -118.2713)"
190206492,02/16/2019,02/15/2019,1000,,Rampart,0246,210,ROBBERY,0305 0416 0390 0216,65,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,ALVARADO,WILSHIRE                     BL,"(34.058, -118.2759)"
190206493,02/16/2019,02/16/2019,1330,,Rampart,0237,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,GLENDALE,TEMPLE,"(34.0682, -118.2609)"
190206496,02/16/2019,02/16/2019,0505,,Rampart,0245,330,BURGLARY FROM VEHICLE,0344 1609 1307 0329 0216,57,M,H,101,STREET,,,IC,Invest Cont,330,,,,2500    OCEAN VIEW                   AV,,"(34.0627, -118.2782)"
190206497,02/16/2019,02/16/2019,1030,,Rampart,0202,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1813 0444 0429 0329 0344,30,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,4200    BURNS                        AV,,"(34.0877, -118.2845)"
190206498,02/15/2019,01/26/2019,0001,,Rampart,0245,310,BURGLARY,0344 0352 1602 0321,28,F,W,120,STORAGE SHED,,,IC,Invest Cont,310,,,,2500 W  6TH                          ST,,"(34.0616, -118.2795)"
190206499,02/16/2019,02/16/2019,1000,,Rampart,0236,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,18,X,X,102,SIDEWALK,,,IC,Invest Cont,341,,,,3RD                          ST,ALVARADO                     ST,"(34.063, -118.2727)"
190206501,02/16/2019,02/16/2019,1000,,Rampart,0261,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 2004 2000 1813,33,F,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,7TH                          ST,PARK VIEW                    ST,"(34.0584, -118.281)"
190206502,02/16/2019,02/12/2019,1915,,Rampart,0205,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,30,M,W,104,DRIVEWAY,,,IC,Invest Cont,440,,,,600    SILVER LAKE                  BL,,"(34.0784, -118.2791)"
190206503,02/16/2019,02/16/2019,1355,,Rampart,0275,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 2004 1218 2000 1813,25,F,B,203,OTHER BUSINESS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,2000 W  OLYMPIC                      BL,,"(34.0512, -118.2787)"
190206509,02/16/2019,02/16/2019,0200,,Rampart,0221,330,BURGLARY FROM VEHICLE,0344,23,M,H,108,PARKING LOT,,,IC,Invest Cont,330,,,,300 N  ALEXANDRIA                   AV,,"(34.0763, -118.2982)"
190206512,02/16/2019,01/15/2019,1500,,Rampart,0291,354,THEFT OF IDENTITY,0930,76,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,1300 W  17TH                         ST,,"(34.0421, -118.2824)"
190206516,02/16/2019,02/16/2019,0410,,Rampart,0291,310,BURGLARY,0216 1822,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,1300 S  ALVARADO                     ST,,"(34.0473, -118.2827)"
190206517,02/17/2019,02/16/2019,2350,,Rampart,0291,626,INTIMATE PARTNER - SIMPLE ASSAULT,0447 2000 1814 0446,38,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,1300 S  WESTLAKE                     AV,,"(34.0467, -118.2814)"
190206518,02/16/2019,02/16/2019,2010,,Rampart,0218,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822 1402 0907,45,M,H,122,"VEHICLE, PASSENGER/TRUCK",500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,740,998,,,1000 W  KENSINGTON                   RD,,"(34.0737, -118.2571)"
190206519,02/17/2019,02/17/2019,0200,,Rampart,0285,626,INTIMATE PARTNER - SIMPLE ASSAULT,1814 2000 0416 0446 2002 0401 0445,24,M,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,1600 W  11TH                         PL,,"(34.047, -118.2755)"
190206520,02/17/2019,02/17/2019,0003,,Rampart,0231,624,BATTERY - SIMPLE ASSAULT,0913 0416 0445 1236,36,M,H,401,MINI-MART,500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,624,,,,3100    BEVERLY                      BL,,"(34.0719, -118.2822)"
190206521,02/16/2019,02/16/2019,1720,,Rampart,0236,624,BATTERY - SIMPLE ASSAULT,1822 0444 1309,24,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,200 S  WESTLAKE                     AV,,"(34.0648, -118.2696)"
190206522,02/17/2019,02/17/2019,0150,,Rampart,0202,210,ROBBERY,0945 0342 0325 0416 0446 1402 1309,0,X,X,401,MINI-MART,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,998,,,4400    SANTA MONICA                 BL,,"(34.0909, -118.2846)"
190206523,02/17/2019,02/17/2019,0105,,Rampart,0205,624,BATTERY - SIMPLE ASSAULT,1822 0448 1309 0429,20,F,O,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,MARATHON,DILLON                       ST,"(34.0815, -118.2772)"
190206527,02/17/2019,02/17/2019,0150,,Rampart,0202,624,BATTERY - SIMPLE ASSAULT,1309 1822 0416 0446,38,M,H,401,MINI-MART,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,4400    SANTA MONICA                 BL,,"(34.0909, -118.2846)"
190206529,02/17/2019,02/17/2019,0505,,Rampart,0201,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,1309 2000 1814 1501,27,F,H,101,STREET,512,MACE/PEPPER SPRAY,IC,Invest Cont,236,,,,MARIPOSA,ROMAINE,"(34.0886, -118.2991)"
190206532,02/17/2019,02/17/2019,0600,,Rampart,0245,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,WILSHIRE                     BL,PARK VIEW                    ST,"(34.0601, -118.2805)"
190206533,02/17/2019,02/17/2019,0200,,Rampart,0215,330,BURGLARY FROM VEHICLE,0344 1606,29,M,B,104,DRIVEWAY,,,IC,Invest Cont,330,,,,400    MICHELTORENA                 ST,,"(34.0777, -118.2821)"
190206537,02/17/2019,02/17/2019,0400,,Rampart,0201,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 0311,0,X,X,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,740,,,,900 N  MARIPOSA                     AV,,"(34.0869, -118.299)"
190206538,02/17/2019,02/15/2019,0600,,Rampart,0215,330,BURGLARY FROM VEHICLE,0344 0352 1607,29,F,W,101,STREET,,,IC,Invest Cont,330,,,,3200 W  TEMPLE                       ST,,"(34.0757, -118.2777)"
190206539,02/17/2019,02/17/2019,1500,,Rampart,0291,624,BATTERY - SIMPLE ASSAULT,0400 1236 0104 1822 2004,40,F,H,210,RESTAURANT/FAST FOOD,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,2100 W  PICO                         BL,,"(34.0473, -118.2827)"
190206540,02/17/2019,02/08/2019,0600,,Rampart,0249,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1606,58,M,H,101,STREET,,,IC,Invest Cont,420,,,,6TH                          ST,BIXEL,"(34.0541, -118.2621)"
190206543,02/17/2019,02/17/2019,1905,,Rampart,0275,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0417 0329 1822,24,M,H,122,"VEHICLE, PASSENGER/TRUCK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,740,,,,OLYMPIC                      BL,BONNIE BRAE,"(34.0507, -118.2776)"
190206544,02/17/2019,02/17/2019,1850,,Rampart,0266,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,37,F,H,122,"VEHICLE, PASSENGER/TRUCK",,,AO,Adult Other,740,,,,1700    JAMES M WOOD                 BL,,"(34.0531, -118.2738)"
190206545,02/17/2019,02/17/2019,2040,,Rampart,0266,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2004 1822 0329 0342 0327 0906 0216 0311,0,X,X,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,740,,,,800 S  UNION                        AV,,"(34.0531, -118.2738)"
190206547,02/17/2019,02/17/2019,1520,,Rampart,0241,626,INTIMATE PARTNER - SIMPLE ASSAULT,2001 2000 1814 1813 0416 1278 0321,23,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,300 S  LAFAYETTE PARK               PL,,"(34.0671, -118.2806)"
190206549,02/17/2019,02/17/2019,2100,,Rampart,0221,762,LEWD CONDUCT,2048 0910 0528 0529 1822 0531 0538 1000,50,F,H,906,MTA - RED LINE - VERMONT/BEVERLY,,,IC,Invest Cont,762,,,,VERMONT,BEVERLY,"(34.0777, -118.2917)"
